禁用	src/views/basic/currency/index.vue:128 [script], src/views/label/template/components/TemplateFormDialog.vue:87 [text], src/views/label/template/index.vue:89 [script], src/views/report/components/ReportForm.vue:71 [text]
描述	src/views/label/template/components/TemplateFormDialog.vue:103 [attr:label], src/views/system/module/index.vue:190 [script], src/views/system/module/index.vue:200 [script], src/views/system/role/index.vue:229 [script]
排序	src/views/basic/packaging/index.vue:170 [script], src/views/system/dict/index.vue:143 [script], src/views/system/position/index.vue:213 [script], src/views/system/userTableConfig/index.vue:282 [script]
其它	src/views/basic/material/finished/index.vue:177 [script], src/views/basic/material/index.vue:187 [script], src/views/basic/material/raw/index.vue:179 [script], src/views/basic/material/semi-finished/index.vue:177 [script]
无需审批	src/views/basic/material/finished/index.vue:181 [script], src/views/basic/material/index.vue:191 [script], src/views/basic/material/raw/index.vue:183 [script], src/views/basic/material/semi-finished/index.vue:181 [script]
已审批	src/views/basic/material/finished/index.vue:183 [script], src/views/basic/material/index.vue:193 [script], src/views/basic/material/raw/index.vue:185 [script], src/views/basic/material/semi-finished/index.vue:183 [script]
报表编码	src/views/report/components/ReportForm.vue:26 [attr:label], src/views/report/index.vue:148 [script], src/views/report/index.vue:159 [script]
报表名称	src/views/report/components/ReportForm.vue:17 [attr:label], src/views/report/index.vue:147 [script], src/views/report/index.vue:158 [script]
操作时间	src/views/system/dashboard/index.vue:308 [script], src/views/system/operationLog/index.vue:166 [script], src/views/system/operationLog/index.vue:173 [script]
产品标签	src/views/label/print/index.vue:9 [text], src/views/label/template/components/TemplateFormDialog.vue:42 [text], src/views/label/template/index.vue:92 [script]
打印时间	src/views/label/record/index.vue:153 [script], src/views/label/record/index.vue:164 [script], src/views/label/template/components/LabelTemplateEditor.vue:269 [script]
登录时间	src/views/system/dashboard/index.vue:343 [script], src/views/system/loginLog/index.vue:48 [script], src/views/system/loginLog/index.vue:57 [script]
供应商编码	src/views/basic/supplier/index.vue:518 [script], src/views/basic/supplier/index.vue:528 [script], src/views/workflow/form/SupplierReviewForm.vue:36 [attr:label]
客户名称	src/views/basic/customer/index.vue:269 [script], src/views/basic/customer/index.vue:280 [script], src/views/label/template/components/LabelTemplateEditor.vue:271 [script]
模板类型	src/views/label/record/index.vue:145 [script], src/views/label/record/index.vue:160 [script], src/views/label/template/components/TemplateFormDialog.vue:36 [attr:label]
删除	src/views/system/operationLog/index.vue:139 [script], src/views/system/user/components/UserFormDialog.vue:262 [text], src/views/system/user/components/UserProfileForm.vue:119 [text]
审查状态	src/views/basic/supplier/index.vue:524 [script], src/views/basic/supplier/index.vue:534 [script], src/views/workflow/form/SupplierReviewForm.vue:38 [attr:label]
未审批	src/views/basic/material/finished/index.vue:182 [script], src/views/basic/material/raw/index.vue:184 [script], src/views/basic/material/semi-finished/index.vue:182 [script]
信用等级	src/views/basic/customer/index.vue:271 [script], src/views/basic/customer/index.vue:282 [script], src/views/basic/supplier/index.vue:522 [script]
引擎类型	src/views/report/components/ReportForm.vue:36 [attr:label], src/views/report/index.vue:149 [script], src/views/report/index.vue:160 [script]
标题	src/views/system/message/index.vue:18 [attr:label], src/views/system/userTableConfig/index.vue:269 [script]
表格编码	src/views/system/userTableConfig/index.vue:5 [attr:label], src/views/system/userTableConfig/index.vue:209 [script]
操作人	src/views/label/record/index.vue:152 [script], src/views/system/dashboard/index.vue:314 [script]
创建人	src/views/system/module/index.vue:192 [script], src/views/system/role/index.vue:231 [script]
打印类型	src/views/label/print/index.vue:6 [attr:label], src/views/label/record/index.vue:154 [script]
打印流水号	src/views/label/record/index.vue:143 [script], src/views/label/record/index.vue:159 [script]
打印数据	src/views/label/print/index.vue:80 [attr:label], src/views/label/print/index.vue:73 [text]
打印张数	src/views/label/print/index.vue:31 [attr:label], src/views/label/record/index.vue:151 [script]
导出	src/views/basic/supplier/index.vue:14 [text], src/views/system/operationLog/index.vue:141 [script]
登录账号	src/views/system/loginLog/index.vue:46 [script], src/views/system/loginLog/index.vue:55 [script]
登录状态	src/views/system/loginLog/index.vue:47 [script], src/views/system/loginLog/index.vue:56 [script]
岗位	src/views/system/user/components/UserDetail.vue:37 [attr:label], src/views/system/user/components/UserFormDialog.vue:92 [attr:label]
